model_type,colors_used,num_train_samples,epochs,batch_size,train_time_sec,test_loss,test_accuracy,epoch_90_accuracy,epoch_95_accuracy
FFNN,"G,RG,RB",600,200,20,16.936493396759033,0.0754708349704742,1.0,,
FFNN,"G,RG,RB",900,200,20,20.26955723762512,0.1133956015110015,0.9375,,
FFNN,"G,RG,RB",1500,200,20,26.3676540851593,0.0440677627921104,1.0,,
FFNN,"G,RG,GB",300,200,20,13.849011659622192,0.0509475953876972,1.0,,
FFNN,"G,RG,GB",600,200,20,16.757689952850342,0.0062833335250616,1.0,,
FFNN,"G,RG,GB",900,200,20,21.286301374435425,0.0020704297348856,1.0,,
FFNN,"G,RG,GB",1500,200,20,26.87957334518433,0.00239261938259,1.0,,
FFNN,"G,RB,GB",300,200,20,13.824842691421509,0.2456793189048767,0.9375,,
FFNN,"G,RB,GB",600,200,20,16.71486783027649,0.0975724160671234,0.9375,,
FFNN,"G,RB,GB",900,200,20,20.36750555038452,0.068196065723896,1.0,,
FFNN,"G,RB,GB",1500,200,20,27.08040714263916,0.0141296731308102,1.0,,
FFNN,"B,RG,RB",300,200,20,13.76961374282837,0.1478604078292846,1.0,,
FFNN,"B,RG,RB",600,200,20,16.807923078536987,0.2429465055465698,0.875,,
FFNN,"B,RG,RB",900,200,20,20.435962200164795,0.0491436198353767,1.0,,
FFNN,"B,RG,RB",1500,200,20,26.78831958770752,0.0605759881436824,0.9375,,
FFNN,"B,RG,GB",300,200,20,13.74481987953186,0.0332961753010749,1.0,,
FFNN,"B,RG,GB",600,200,20,16.854255199432373,0.0582390092313289,0.9375,,
FFNN,"B,RG,GB",900,200,20,21.534514904022217,0.0645281821489334,1.0,,
FFNN,"B,RG,GB",1500,200,20,26.99079394340515,0.0257313624024391,1.0,,
FFNN,"B,RB,GB",300,200,20,13.77641749382019,0.115734577178955,0.9375,,
FFNN,"B,RB,GB",600,200,20,16.85080909729004,0.0731397122144699,1.0,,
FFNN,"B,RB,GB",900,200,20,20.395928859710693,0.0076611335389316,1.0,,
FFNN,"B,RB,GB",1500,200,20,26.62345814704895,0.1791882216930389,0.9375,,
FFNN,"RG,RB,GB",300,200,20,13.898656845092772,0.0463045537471771,1.0,,
FFNN,"RG,RB,GB",600,200,20,16.820369482040405,0.1186001077294349,1.0,,
FFNN,"RG,RB,GB",900,200,20,20.37011170387268,0.0414319895207881,1.0,,
FFNN,"RG,RB,GB",1500,200,20,26.4034435749054,0.0030132026877254,1.0,,
FFNN,"R,G,B,RG",300,200,20,13.83497428894043,0.0856305062770843,0.9375,,
FFNN,"R,G,B,RG",600,200,20,16.81411385536194,0.0090389773249626,1.0,,
FFNN,"R,G,B,RG",900,200,20,21.498373985290527,0.0019182555843144,1.0,,
FFNN,"R,G,B,RG",1500,200,20,27.276796340942383,0.0024022266734391,1.0,,
FFNN,"R,G,B,RB",300,200,20,13.803189039230348,0.0924077183008194,0.9375,,
FFNN,"R,G,B,RB",600,200,20,17.04536509513855,0.1934478282928466,0.9375,,
FFNN,"R,G,B,RB",900,200,20,20.45508098602295,0.0089964056387543,1.0,,
FFNN,"R,G,B,RB",1500,200,20,26.699393272399902,0.0373228304088115,1.0,,
FFNN,"R,G,B,GB",300,200,20,13.98676896095276,0.0494628846645355,1.0,,
FFNN,"R,G,B,GB",600,200,20,16.978384256362915,0.0033195356372743,1.0,,
FFNN,"R,G,B,GB",900,200,20,20.17848372459412,0.017156708985567,1.0,,
FFNN,"R,G,B,GB",1500,200,20,27.39383172988892,0.0069778249599039,1.0,,
FFNN,"R,G,RG,RB",300,200,20,13.929126024246216,0.1233924329280853,0.9375,,
FFNN,"R,G,RG,RB",600,200,20,17.04365062713623,0.1632228791713714,0.875,,
FFNN,"R,G,RG,RB",900,200,20,20.460428953170776,0.2539672553539276,0.875,,
FFNN,"R,G,RG,RB",1500,200,20,26.83903479576111,0.0150004103779792,1.0,,
FFNN,"R,G,RG,GB",300,200,20,13.769847393035889,0.0807801261544227,1.0,,
FFNN,"R,G,RG,GB",600,200,20,16.865233898162842,0.0043569104745984,1.0,,
FFNN,"R,G,RG,GB",900,200,20,20.30611753463745,0.000889204442501,1.0,,
FFNN,"R,G,RG,GB",1500,200,20,26.81763362884521,0.0014871296007186,1.0,,
FFNN,"R,G,RB,GB",300,200,20,13.84711742401123,0.1704038679599762,0.9375,,
FFNN,"R,G,RB,GB",600,200,20,17.052839279174805,0.0068683605641126,1.0,,
FFNN,"R,G,RB,GB",900,200,20,20.61451411247253,0.0032257242128252,1.0,,
FFNN,"R,G,RB,GB",1500,200,20,26.65936708450317,0.165904015302658,0.9375,,
FFNN,"R,B,RG,RB",300,200,20,14.05557918548584,0.0454671680927276,1.0,,
FFNN,"R,B,RG,RB",600,200,20,16.70797824859619,0.0055374633520841,1.0,,
FFNN,"R,B,RG,RB",900,200,20,20.257540702819824,0.1254409253597259,0.9375,,
FFNN,"R,B,RG,RB",1500,200,20,27.76908588409424,0.012977110221982,1.0,,
FFNN,"R,B,RG,GB",300,200,20,13.812459468841553,0.1622721850872039,0.9375,,
FFNN,"R,B,RG,GB",600,200,20,16.90924572944641,0.0018941918388009,1.0,,
FFNN,"R,B,RG,GB",900,200,20,20.572843074798584,0.2952987253665924,0.9375,,
FFNN,"R,B,RG,GB",1500,200,20,27.118279695510864,0.0035129017196595,1.0,,
FFNN,"R,B,RB,GB",300,200,20,14.027339458465576,0.072940245270729,1.0,,
FFNN,"R,B,RB,GB",600,200,20,16.945534467697144,0.0204284731298685,1.0,,
FFNN,"R,B,RB,GB",900,200,20,20.32316541671753,0.0146145056933164,1.0,,
FFNN,"R,B,RB,GB",1500,200,20,26.734129667282104,0.0385545641183853,1.0,,
FFNN,"R,RG,RB,GB",300,200,20,14.124672412872314,0.018993217498064,1.0,,
FFNN,"R,RG,RB,GB",600,200,20,16.82751178741455,0.0143375303596258,1.0,,
FFNN,"R,RG,RB,GB",900,200,20,20.247552156448364,0.0026487438008189,1.0,,
FFNN,"R,RG,RB,GB",1500,200,20,27.920635223388672,0.0009424426825717,1.0,,
FFNN,"G,B,RG,RB",300,200,20,14.051637411117554,0.071453645825386,1.0,,
FFNN,"G,B,RG,RB",600,200,20,16.761987686157227,0.0189237631857395,1.0,,
FFNN,"G,B,RG,RB",900,200,20,20.740726232528687,0.0135489106178283,1.0,,
FFNN,"G,B,RG,RB",1500,200,20,26.88351893424988,0.3074736595153808,0.875,,
FFNN,"G,B,RG,GB",300,200,20,13.764935970306396,0.0787518173456192,0.9375,,
FFNN,"G,B,RG,GB",600,200,20,16.81531262397766,0.0843932554125785,0.9375,,
FFNN,"G,B,RG,GB",900,200,20,20.635308027267456,0.0042443783022463,1.0,,
FFNN,"G,B,RG,GB",1500,200,20,27.0494396686554,0.0264986660331487,1.0,,
